City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
6,Mahebourg,MU,67.24,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
7,Ponta Do Sol,PT,72.72,clear sky,32.6667,-17.1,Hotel do Campo
9,Kalmunai,LK,85.42,overcast clouds,7.4167,81.8167,VS Villa
12,Ejura,GH,67.23,broken clouds,7.3856,-1.3562,Fire Servece
13,Kahului,US,78.96,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
14,Mount Isa,AU,69.57,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
17,Faanui,PF,77.86,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
18,Vaini,TO,74.43,scattered clouds,-21.2,-175.2,Keleti Beach Resort
20,Takab,IR,79.11,clear sky,36.4009,47.1133,نانوایی جواد
21,Mandan,US,68.95,clear sky,46.8267,-100.8896,Twin City Estates
23,Kidal,ML,79.9,overcast clouds,18.4411,1.4078,
25,Bubaque,GW,77.45,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
31,Rikitea,PF,73.26,light rain,-23.1203,-134.9692,People ThankYou
33,Albany,US,81.01,few clouds,42.6001,-73.9662,
34,Shar,KZ,86.04,overcast clouds,49.5886,81.0453,
35,Souillac,MU,66.58,light intensity shower rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
39,Kupang,ID,85.84,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
40,Butaritari,KI,80.91,moderate rain,3.0707,172.7902,Isles Sunset Lodge
41,Guerrero Negro,MX,70.16,few clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
43,Kapaa,US,80.19,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
45,Kismayo,SO,75.04,light rain,-0.3582,42.5454,Agan-Hotel
50,Nikolskoye,RU,68.88,clear sky,59.7035,30.7861,Tourist House - Sablino
51,Boromo,BF,73.11,light rain,11.75,-2.9333,Sama Camp
52,Pasni,PK,82.94,overcast clouds,25.2631,63.471,Kashmiri Hotal
54,Atuona,PF,77.59,scattered clouds,-9.8,-139.0333,Villa Enata
58,Jardim,BR,67.17,broken clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
59,San Patricio,US,84.85,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
60,Port Blair,IN,80.69,heavy intensity rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
62,Atar,MR,80.22,scattered clouds,20.5169,-13.0499,Oumou Elghoura
63,Bathsheba,BB,81.05,scattered clouds,13.2167,-59.5167,Atlantis Hotel
67,Elko,US,82.22,clear sky,41.0002,-115.5012,
69,Teknaf,BD,85.84,overcast clouds,20.8624,92.3058,Forestry Guesthouse
70,Bourg-En-Bresse,FR,66.02,clear sky,46.1667,5.1667,Chambres d'Hôtes Grange Carrée
71,Hamilton,US,79.99,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
74,Saint-Joseph,RE,66.58,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
75,Adrar,MR,87.96,broken clouds,20.5022,-10.0711,
76,Norman Wells,CA,69.39,broken clouds,65.282,-126.8329,Heritage Hotel
77,Mabaruma,GY,72.28,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
78,Yerbogachen,RU,71.49,scattered clouds,61.2767,108.0108,
79,Kralendijk,BQ,80.58,broken clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
80,Lorengau,PG,84.25,moderate rain,-2.0226,147.2712,Lorengau Harbourside Hotel
82,Alofi,NU,76.64,clear sky,-19.0595,-169.9187,Taloa Heights
83,Morondava,MG,65.98,clear sky,-20.2833,44.2833,La Case Bambou
84,Harper,LR,73.27,overcast clouds,4.375,-7.7169,Screensaver
85,Kodinsk,RU,72.82,scattered clouds,58.6881,99.1844,
88,Shimoda,JP,83.03,broken clouds,34.6667,138.95,Shimoda Tokyu Hotel
91,Iquitos,PE,77.04,broken clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
92,Mamallapuram,IN,86.05,overcast clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
94,Jamestown,US,76.59,scattered clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
95,Avarua,CK,71.65,broken clouds,-21.2078,-159.775,Paradise Inn
96,Palimbang,PH,85.69,scattered clouds,6.2106,124.1894,Felmar Beach resort
97,Mehriz,IR,84.63,clear sky,31.5917,54.4318,Mehrgard dwelling/سرای مهرگرد
98,Roebourne,AU,79.14,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
99,Hithadhoo,MV,80.78,overcast clouds,-0.6,73.0833,Scoop Guest House
100,Businga,CD,68.9,light rain,3.3333,20.8833,
102,Korla,CN,76.62,clear sky,41.7597,86.1469,Gulisitan Hotel
105,Fukue,JP,82.31,overcast clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
106,Yuanping,CN,87.55,clear sky,38.7153,112.7575,Yuanping Xinghe Guesthouse
109,Touros,BR,72.45,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
111,Sao Joao Da Barra,BR,66.67,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
113,Nhulunbuy,AU,81.21,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
115,Caravelas,BR,69.73,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
117,Tongren,CN,89.87,broken clouds,27.7172,109.1853,Fanjing Mountain International Conference Center
118,Xuddur,SO,68.41,few clouds,4.1213,43.8894,Banjanay Hotel
120,Broome,US,79.86,clear sky,42.2506,-75.833,Chenango Valley State Park
121,Georgetown,MY,87.73,few clouds,5.4112,100.3354,Cititel Penang
122,Puerto Ayora,EC,68.56,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
124,Samarai,PG,83.14,clear sky,-10.6167,150.6667,Nuli Sapi
125,Lagoa,PT,70.75,clear sky,39.05,-27.9833,Casa Das Faias
128,Gat,IL,75.88,clear sky,31.61,34.7642,OlusHome
129,Yacuiba,BO,66.29,broken clouds,-22.038,-63.6797,Hotel Monumental
131,Belyy Yar,RU,73.85,clear sky,53.6039,91.3903,Pasportnyy Stol
132,Arraial Do Cabo,BR,70.29,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
135,Omagari,JP,77.11,overcast clouds,39.45,140.4833,Hotel Fuji
137,Cayenne,GF,78.1,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
138,Bethel,US,79.63,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
139,Moree,AU,68.02,broken clouds,-29.4667,149.85,Molika Springs Motel
140,Contamana,PE,77.09,overcast clouds,-7.3333,-75.0167,Shiringal Touristic Park
141,San Jose,US,69.89,few clouds,37.3394,-121.895,The Westin San Jose
