City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Moron,AR,2022-07-20 17:49:48,-34.6534,-58.6198,67.8,64,1,7.54
1,Mugur-Aksy,RU,2022-07-20 17:49:49,50.35,90.5,46.13,71,55,3.47
2,Chuy,UY,2022-07-20 17:49:50,-33.6971,-53.4616,60.75,79,0,10.33
3,Dingle,PH,2022-07-20 17:49:52,10.9995,122.6711,77.29,88,74,2.17
4,Georgetown,MY,2022-07-20 17:47:19,5.4112,100.3354,81.9,89,20,1.14
5,Vostok,RU,2022-07-20 17:49:53,46.4856,135.8833,58.82,98,87,2.66
6,Ribeira Grande,PT,2022-07-20 17:49:53,38.5167,-28.7,75.6,83,20,8.05
7,Souillac,MU,2022-07-20 17:49:54,-20.5167,57.5167,70.18,68,40,21.85
8,Punta Arenas,CL,2022-07-20 17:49:55,-53.15,-70.9167,35.62,80,75,25.32
9,Ihosy,MG,2022-07-20 17:49:56,-22.4,46.1167,57.74,93,11,7.31
10,Rikitea,PF,2022-07-20 17:49:56,-23.1203,-134.9692,72.95,75,2,0.83
11,Cidreira,BR,2022-07-20 17:49:57,-30.1811,-50.2056,64.0,80,0,15.14
12,Meiganga,CM,2022-07-20 17:49:57,6.5167,14.3,66.36,96,100,1.41
13,Nikolskoye,RU,2022-07-20 17:49:58,59.7035,30.7861,73.87,57,96,11.52
14,Clyde River,CA,2022-07-20 17:49:58,70.4692,-68.5914,39.43,93,100,9.22
15,Busselton,AU,2022-07-20 17:50:01,-33.65,115.3333,60.93,92,100,17.58
16,Ardakan,IR,2022-07-20 17:50:01,32.31,54.0175,91.02,10,0,7.83
17,Puerto Ayora,EC,2022-07-20 17:50:02,-0.7393,-90.3518,76.96,94,87,8.01
18,Bluff,NZ,2022-07-20 17:50:02,-46.6,168.3333,38.8,63,92,8.41
19,Bambous Virieux,MU,2022-07-20 17:50:03,-20.3428,57.7575,71.22,68,40,21.85
20,Birao,CF,2022-07-20 17:50:05,10.2849,22.7882,76.78,76,74,4.12
21,Usak,TR,2022-07-20 17:50:05,38.5,29.4167,71.96,39,0,13.94
22,Atuona,PF,2022-07-20 17:50:06,-9.8,-139.0333,77.65,74,43,15.41
23,Morristown,US,2022-07-20 17:50:07,36.214,-83.2949,88.5,72,40,10.36
24,Khatanga,RU,2022-07-20 17:50:07,71.9667,102.5,47.39,60,100,22.26
25,Labuhan,ID,2022-07-20 17:50:08,-6.8844,112.2051,74.98,83,67,9.73
26,Vao,NC,2022-07-20 17:50:08,-22.6667,167.4833,74.03,87,100,7.7
27,Ushuaia,AR,2022-07-20 17:45:35,-54.8,-68.3,33.46,93,100,24.16
28,Sao Jose Da Coroa Grande,BR,2022-07-20 17:50:09,-8.8978,-35.1478,77.85,80,40,10.85
29,Kimbe,PG,2022-07-20 17:50:10,-5.5502,150.1429,75.9,91,97,3.13
30,Eyl,SO,2022-07-20 17:50:10,7.9803,49.8164,77.18,68,81,16.69
31,Saldanha,ZA,2022-07-20 17:50:11,-33.0117,17.9442,50.05,61,0,13.67
32,Carlyle,US,2022-07-20 17:50:12,38.6103,-89.3726,96.13,55,0,3.0
